,Unnamed: 0,Unnamed: 0.1,Unique ID,Macaddress,Temperature,Light,packets,namespace,txPower,interval,batteryLevel,Floor,location_id,zone_predicted,zone_to_use,zone_truth,N_True,N_False,N_total,N_false/N_total,node_or_neighbor,node_or_neighbor/N_total
102,102,74,suk6BQ,FA:6C:2F:16:8C,21,3,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b102,1,350,100,b1,2,B1_CLL,B1_CLL,{'B1_CLL': 7},7,0,7,0,7,1
103,103,107,suMbEK,D9:F6:2D:65:48,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b103,3,350,100,b1,3,B1_Supermarket_entrance_1,B1_Supermarket_entrance_1,"{'L1_Shop_walkway_3': 5, 'B1_Posb_bank': 5, 'B1_Supermarket_entrance_1': 14}",14,10,24,0.416666667,19,0.791666667
104,104,15,suA8NJ,D2:EB:4B:84:9A,23,21,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b104,3,350,100,b1,4,B1_Posb_bank,B1_Posb_bank,"{'B1_Posb_bank': 9, 'B1_Supermarket_entrance_1': 1}",9,1,10,0.1,10,1
105,105,85,suqJn1,E7:0A:97:93:0B,24,14,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b105,1,350,100,b1,5,B1_Supermarket_entrance_2,B1_Supermarket_entrance_2,"{'B1_Supermarket_entrance_2': 9, 'B1_Carpark_entrance': 4, 'B1_CLL': 2}",9,6,15,0.4,15,1
106,106,113,sujYyw,D5:F6:B7:82:98,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b106,3,350,100,b1,6,B1_Carpark_zone_1,B1_Carpark_zone_1,{'B1_Carpark_zone_1': 13},13,0,13,0,13,1
107,107,109,suDQbX,D3:30:F4:8B:28,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b107,1,350,100,b1,7,B1_R1_LL,B1_R1_LL,"{'B1_R1_LL': 8, 'B1_Carpark_zone_4': 1}",8,1,9,0.111111111,9,1
108,108,112,su6bJO,CC:5E:20:6C:20,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b108,3,350,100,b1,8,B1_Carpark_zone_3,B1_Carpark_zone_3,"{'B1_Carpark_zone_4': 4, 'B1_Carpark_zone_3': 14}",14,4,18,0.222222222,18,1
109,109,108,su77Gw,C1:C5:E0:0B:4C,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b109,1,350,100,b1,9,B1_R2_LL,B1_R2_LL,"{'B1_R2_LL': 8, 'B1_Carpark_zone_3': 1}",8,1,9,0.111111111,8,0.888888889
110,110,34,suL7A7,D8:76:0D:F6:FB,23,27,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b110,3,350,100,b1,10,B1_Carpark_zone_3,B1_Carpark_zone_3,"{'B1_Carpark_zone_1': 4, 'B1_Carpark_zone_3': 9, 'B1_Carpark_zone_2': 4, 'B1_Carpark_entrance': 2}",9,10,19,0.526315789,17,0.894736842
111,111,11,su7iQB,CD:AE:D9:63:38,23,3,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b111,3,350,100,b1,11,B1_Carpark_zone_3,B1_Carpark_zone_3,"{'B1_Carpark_zone_3': 9, 'B1_Carpark_zone_2': 12}",9,12,21,0.571428571,21,1
